,id,fstart,fend,ftype,pers,volume,logvol,majority class,homogeneity,major class size,major class coverage,idx
0,1,0.026239369064569473,0.05325016751885414,minima-saddle,0.027010798454284668,1,0.6931471805599453,hook,1,1,0.0007,1
1,2,0.17762017250061035,0.2022174596786499,minima-saddle,0.02459728717803955,1,0.6931471805599453,tabby,1,1,0.0007,2
2,5,-0,0.00904876172542572,minima-saddle,0.0007977878558449447,478,6.171700597410915,neck brace,1,478,0.3886,3
3,6,-0,0.00904876172542572,minima-saddle,0.0031986285466700792,983,6.891625897052253,chambered nautilus,1,983,0.7281,4
4,7,0.00006925819616299123,0.009118019921588711,minima-saddle,0.00017223066242877394,9,2.302585092994046,lemon,1,9,0.0067,5
5,8,0.0000034570634852570947,0.009052218788910977,minima-saddle,0.002806407632306218,146,4.990432586778736,window shade,1,146,0.1081,6
6,10,0.15718281269073486,0.21977150440216064,minima-saddle,0.06258869171142578,2,1.0986122886681098,tabby,1,2,0.0015,7
7,11,0.0001776060671545565,0.009226367792580277,minima-saddle,0.0006027909694239497,1,0.6931471805599453,Windsor tie,1,1,0.0008,8
8,12,0.004881725646555424,0.013930487371981144,minima-saddle,0.00233994098380208,1,0.6931471805599453,hoopskirt,1,1,0.0007,9
9,14,0.14873583614826202,0.2603951692581177,minima-saddle,0.11165933310985565,1,0.6931471805599453,tabby,1,1,0.0007,10
10,15,-0,0.00904876172542572,minima-saddle,0.0011403016978874803,421,6.045005314036012,pill bottle,1,421,0.3119,11
11,17,0.034563321620225906,0.05048384144902229,minima-saddle,0.015920519828796387,1,0.6931471805599453,ear,1,1,0.0007,12
12,19,0.0034280603285878897,0.01247682205401361,minima-saddle,0.0003380514681339264,1,0.6931471805599453,Norwich terrier,1,1,0.0007,13
13,21,0.0016330252401530743,0.010681786965578794,minima-saddle,0.0040428414940834045,1,0.6931471805599453,wok,1,1,0.0007,14
14,22,0.00018916724366135895,0.009237928969087079,minima-saddle,0.00029232236556708813,1,0.6931471805599453,hyena,1,1,0.0007,15
15,23,0.00014423283573705703,0.009192994561162777,minima-saddle,0.00020618106645997614,5,1.791759469228055,gibbon,1,5,0.0037,16
16,24,0.0018963703187182546,0.010945132044143975,minima-saddle,0.0006401637801900506,1,0.6931471805599453,reflex camera,1,1,0.0007,17
17,26,-0,0.00904876172542572,minima-saddle,0.0024827865418046713,649,6.476972362889683,cicada,1,649,0.4807,18
18,27,0.0033404999412596226,0.012389261666685343,minima-saddle,0.0010438100434839725,1,0.6931471805599453,mashed potato,1,1,0.0007,19
19,29,0.0025499705225229263,0.011598732247948646,minima-saddle,0.0031192582100629807,2,1.0986122886681098,nail,1,2,0.0015,20
20,31,0.0000821318244561553,0.009130893549881875,minima-saddle,0.0003919703303836286,74,4.31748811353631,electric locomotive,1,74,0.0548,21
21,32,0.025913942605257034,0.034962704330682756,minima-saddle,0.0008196346461772919,1,0.6931471805599453,tusker,1,1,0.0007,22
22,34,0.0009698931244201958,0.010018654849845916,minima-saddle,0.0013362911995500326,1,0.6931471805599453,sandal,1,1,0.0007,23
23,35,0.041022781282663345,0.05007154300808907,minima-saddle,0.006289299577474594,1,0.6931471805599453,tiger,1,1,0.0007,24
24,43,0.00009476689592702314,0.009143528621352743,minima-saddle,0.00016841257456690073,10,2.3978952727983707,Sussex spaniel,1,10,0.0074,25
25,45,0.008630122058093548,0.01767888378351927,minima-saddle,0.0073807621374726295,2,1.0986122886681098,warplane,1,2,0.0015,26
26,46,0.00432282779365778,0.0133715895190835,minima-saddle,0.00435551255941391,1,0.6931471805599453,swab,1,1,0.0007,27
27,48,0.0002919009421020746,0.009340662667527795,minima-saddle,0.0002641749451868236,1,0.6931471805599453,medicine chest,1,1,0.0007,28
28,50,-0,0.00904876172542572,minima-saddle,0.00036530973738990724,691,6.539585955617669,abacus,1,691,0.5119,29
29,51,0.04122230410575867,0.05027106583118439,minima-saddle,0.006611637771129608,1,0.6931471805599453,Labrador retriever,1,1,0.0007,30
30,52,0.0009532198309898376,0.010001981556415558,minima-saddle,0.0011056687217205763,4,1.6094379124341003,swimming trunks,1,4,0.003,31
31,53,0.0000019073468138230965,0.009050669072239543,minima-saddle,0.00013279008271638304,2,1.0986122886681098,rule,1,2,0.0015,32
32,54,0.004071756266057491,0.013120517991483211,minima-saddle,0.003763374872505665,1,0.6931471805599453,gong,1,1,0.0008,33
33,56,0.00034707720624282956,0.00939583893166855,minima-saddle,0.00031526864040642977,1,0.6931471805599453,kelpie,1,1,0.0007,34
34,57,0.00004815939246327616,0.009096921117888996,minima-saddle,0.00023051310563459992,2,1.0986122886681098,American alligator,1,2,0.0015,35
35,58,0.00021205084340181202,0.009260812568827532,minima-saddle,0.0016511224675923586,2,1.0986122886681098,racket,1,2,0.0015,36
36,59,-0,0.00904876172542572,minima-saddle,0.0008168459753505886,576,6.3578422665081,bolo tie,1,576,0.4267,37
37,61,0.0010172913316637278,0.010066053057089448,minima-saddle,0.0004206496523693204,2,1.0986122886681098,soft-coated wheaten terrier,1,2,0.0015,38
38,62,0.10755027830600739,0.11659904003143311,minima-saddle,0.0015737339854240417,1,0.6931471805599453,tabby,1,1,0.0007,39
39,64,0.004102861508727074,0.013151623234152794,minima-saddle,0.0023819138295948505,1,0.6931471805599453,West Highland white terrier,1,1,0.0007,40
40,65,0.012422802858054638,0.0245601125061512,minima-saddle,0.012137309648096561,2,1.0986122886681098,Walker hound,1,2,0.0019,41
41,66,0.0009196343016810715,0.009968396027106792,minima-saddle,0.0012716525234282017,1,0.6931471805599453,digital clock,1,1,0.0007,42
42,67,0.31295648217201233,0.5453891158103943,minima-saddle,0.23243263363838196,2,1.0986122886681098,desktop computer,1,2,0.0015,43
43,68,0.012274559587240219,0.02132332131266594,minima-saddle,0.003999078646302223,1,0.6931471805599453,dumbbell,1,1,0.0007,44
44,72,-0,0.00904876172542572,minima-saddle,0.0010189585154876113,392,5.973809611869261,doormat,1,392,0.2904,45
45,78,0.1231495589017868,0.13424767553806305,minima-saddle,0.011098116636276245,1,0.6931471805599453,radio,1,1,0.0007,46
46,79,0.0006467396160587668,0.009695501341484487,minima-saddle,0.00011721922783181071,1,0.6931471805599453,boa constrictor,1,1,0.0007,47
47,80,0.00010322991875000298,0.009151991644175723,minima-saddle,0.00010345762711949646,1,0.6931471805599453,disk brake,1,1,0.0007,48
48,81,-0,0.00904876172542572,minima-saddle,0.00025650550378486514,432,6.07073772800249,bib,1,432,0.32,49
49,83,-0,0.00904876172542572,minima-saddle,0.00029845553217455745,837,6.731018100482083,crossword puzzle,1,837,0.62,50
50,85,0.00047124247066676617,0.009520004196092486,minima-saddle,0.001485926564782858,1,0.6931471805599453,sandal,1,1,0.0007,51
51,87,0.0206612478941679,0.029710009619593622,minima-saddle,0.004292869940400124,1,0.6931471805599453,mailbag,1,1,0.0007,52
52,88,-0,0.00904876172542572,minima-saddle,0.0010024051880463958,555,6.320768294250582,wombat,1,555,0.4111,53
53,89,-0,0.00904876172542572,minima-saddle,0.0008422164828516543,722,6.583409222158765,hay,1,722,0.5348,54
54,90,0.03219018131494522,0.04123894304037094,minima-saddle,0.00859217718243599,1,0.6931471805599453,tiger,1,1,0.0007,55
55,91,0.35941067337989807,0.5648630261421204,minima-saddle,0.2054523527622223,1,0.6931471805599453,desktop computer,1,1,0.0007,56
56,92,0.0007470439304597676,0.009795805655885488,minima-saddle,0.0013305216562002897,3,1.3862943611198906,toilet tissue,1,3,0.0022,57
57,94,-0,0.00904876172542572,minima-saddle,0.0009086770587600768,261,5.568344503761097,muzzle,1,261,0.2206,58
58,95,0.007023881655186415,0.016072643380612137,minima-saddle,0.00159123120829463,1,0.6931471805599453,siamang,1,1,0.0007,59
59,96,-0,0.00904876172542572,minima-saddle,0.00020323118951637298,498,6.212606095751519,bullet train,1,498,0.3689,60
60,97,0.0024453280493617058,0.011494089774787426,minima-saddle,0.002658445853739977,3,1.3862943611198906,collie,1,3,0.0022,61
61,98,0.008925658650696278,0.017974420376122,minima-saddle,0.007134498097002506,1,0.6931471805599453,paper towel,1,1,0.0007,62
62,101,0.09717051684856415,0.2410183548927307,minima-saddle,0.14384783804416656,1,0.6931471805599453,CD player,1,1,0.0007,63
63,103,-0,0.00904876172542572,minima-saddle,0.0002131234941771254,573,6.352629396319567,bubble,1,573,0.4244,64
64,104,0.0001426833332516253,0.009191445058677345,minima-saddle,0.0003093753184657544,2,1.0986122886681098,groom,1,2,0.0015,65
65,108,0.1876184195280075,0.25716742873191833,minima-saddle,0.06954900920391083,1,0.6931471805599453,Siberian husky,1,1,0.0007,66
66,110,0.15647253394126892,0.2509450614452362,minima-saddle,0.09447252750396729,1,0.6931471805599453,tub,1,1,0.0007,67
67,111,0.005496389232575893,0.014545150958001614,minima-saddle,0.0026698680594563484,1,0.6931471805599453,wallet,1,1,0.0007,68
68,112,0.034873396158218384,0.043922157883644106,minima-saddle,0.0006275735795497894,1,0.6931471805599453,hair spray,1,1,0.001,69
69,113,-0,0.00904876172542572,minima-saddle,0.00024339574156329036,610,6.415096959171596,parking meter,1,610,0.4519,70
70,114,0.016734696924686432,0.025783458650112154,minima-saddle,0.00031987205147743225,1,0.6931471805599453,weasel,1,1,0.0007,71
71,115,-0,0.00904876172542572,minima-saddle,0.0004451475979294628,547,6.306275286948016,oscilloscope,1,547,0.4052,72
72,117,0.000047801782784517854,0.009096563508210238,minima-saddle,0.00027413066709414124,23,3.1780538303479458,cardigan,1,23,0.017,73
73,118,0.16462144255638123,0.20567621290683746,minima-saddle,0.04105477035045624,1,0.6931471805599453,bathtub,1,1,0.0007,74
74,120,0.018715694546699524,0.03044920600950718,minima-saddle,0.011733511462807655,1,0.6931471805599453,Irish wolfhound,1,1,0.0007,75
75,121,0.0034926861990243196,0.021945377811789513,minima-saddle,0.018452690914273262,1,0.6931471805599453,pole,1,1,0.0007,76
76,122,-0,0.00904876172542572,minima-saddle,0.0009691785671748221,565,6.338594078203183,tile roof,1,565,0.4185,77
77,123,0.29062211513519287,0.31352749466896057,minima-saddle,0.0229053795337677,1,0.6931471805599453,black-footed ferret,1,1,0.0007,78
78,125,0.06179751455783844,0.07084627628326416,minima-saddle,0.0020401999354362488,1,0.6931471805599453,squirrel monkey,1,1,0.0007,79
79,126,0.0002849888114724308,0.009333750536898151,minima-saddle,0.0017780634807422757,1,0.6931471805599453,car wheel,1,1,0.0007,80
