,Simplification Threshold,Count
0,0,1166
1,0,1165
2,0,1164
3,0,1163
4,0,1162
5,0,1161
6,0,1160
7,0,1159
8,0,1158
9,0,1157
10,0,1156
11,0,1155
12,0,1154
13,0,1153
14,0,1152
15,0,1151
16,0,1150
17,0,1149
18,0,1148
19,0,1147
20,0,1146
21,0,1145
22,0,1144
23,0,1143
24,0,1142
25,0,1141
26,0,1140
27,0,1139
28,0,1138
29,0,1137
30,0,1136
31,0,1135
32,0,1134
33,0,1133
34,0,1132
35,0,1131
36,0,1130
37,0,1129
38,0,1128
39,0,1127
40,0,1126
41,0,1125
42,0,1124
43,0,1123
44,0,1122
45,0,1121
46,0,1120
47,0,1119
48,0,1118
49,0,1117
50,0,1116
51,0,1115
52,0,1114
53,0,1113
54,0,1112
55,0,1111
56,0,1110
57,0,1109
58,0,1108
59,0,1107
60,0,1106
61,0,1105
62,0,1104
63,0,1103
64,0,1102
65,0,1101
66,0,1100
67,0,1099
68,0,1098
69,0,1097
70,0,1096
71,0,1095
72,0,1094
73,0,1093
74,0,1092
75,0,1091
76,0,1090
77,0,1089
78,0,1088
79,0,1087
80,0,1086
81,0,1085
82,0,1084
83,0,1083
84,0,1082
85,0,1081
86,0,1080
87,0,1079
88,0,1078
89,0,1077
90,0,1076
91,0,1075
92,0,1074
93,0,1073
94,0,1072
95,0,1071
96,0,1070
97,0,1069
98,0,1068
99,0,1067
100,0,1066
101,0,1065
102,0,1064
103,0,1063
104,0,1062
105,0,1061
106,0,1060
107,0,1059
108,0,1058
109,0,1057
110,0,1056
111,0,1055
112,0,1054
113,0,1053
114,0,1052
115,0,1051
116,0,1050
117,0,1049
118,0,1048
119,0,1047
120,0,1046
121,0,1045
122,0,1044
123,0,1043
124,0,1042
125,0,1041
126,0,1040
127,0,1039
128,0,1038
129,0,1037
130,0,1036
131,0,1035
132,0,1034
133,0,1033
134,0,1032
135,0,1031
136,0,1030
137,0,1029
138,0,1028
139,0,1027
140,0,1026
141,0,1025
142,0,1024
143,0,1023
144,0,1022
145,0,1021
146,0,1020
147,0,1019
148,0,1018
149,0,1017
150,0,1016
151,0,1015
152,0,1014
153,0,1013
154,0,1012
155,0,1011
156,0,1010
157,0,1009
158,0,1008
159,0,1007
160,0,1006
161,0,1005
162,0,1004
163,0,1003
164,0,1002
165,0,1001
166,0,1000
167,0,999
168,0,998
169,0,997
170,0,996
171,0,995
172,0,994
173,0,993
174,0,992
175,0,991
176,0,990
177,0,989
178,0,988
179,0,987
180,0,986
181,0,985
182,0,984
183,0,983
184,0,982
185,0,981
186,0,980
187,0,979
188,0,978
189,0,977
190,0,976
191,0,975
192,0,974
193,0,973
194,0,972
195,0,971
196,0,970
197,0,969
198,0,968
199,0,967
200,0,966
201,0,965
202,0,964
203,0,963
204,0,962
205,0,961
206,0,960
207,0,959
208,0,958
209,0,957
210,0,956
211,0,955
212,0,954
213,0,953
214,0,952
215,0,951
216,0,950
217,0,949
218,0,948
219,0,947
220,0,946
221,0,945
222,0,944
223,0,943
224,0,942
225,0,941
226,0,940
227,0,939
228,0,938
229,0,937
230,0,936
231,0,935
232,0,934
233,0,933
234,0,932
235,0,931
236,0,930
237,0,929
238,0,928
239,0,927
240,0,926
241,0,925
242,0,924
243,0,923
244,0,922
245,0,921
246,0,920
247,0,919
248,0,918
249,0,917
250,0,916
251,0,915
252,0,914
253,0,913
254,0,912
255,0,911
256,0,910
257,0,909
258,0,908
259,0,907
260,0,906
261,0,905
262,0,904
263,0,903
264,0,902
265,0,901
266,0,900
267,0,899
268,0,898
269,0,897
270,0,896
271,0,895
272,0,894
273,0,893
274,0,892
275,0,891
276,0,890
277,0,889
278,0,888
279,0,887
280,0,886
281,0,885
282,0,884
283,0,883
284,0,882
285,0,881
286,0,880
287,0,879
288,0,878
289,0,877
290,0,876
291,0,875
292,0,874
293,0,873
294,0,872
295,0,871
296,0,870
297,0,869
298,0,868
299,0,867
300,0,866
301,0,865
302,0,864
303,0,863
304,0,862
305,0,861
306,0,860
307,0,859
308,0,858
309,0,857
310,0,856
311,0,855
312,0,854
313,0,853
314,0,852
315,0,851
316,0,850
317,0,849
318,0,848
319,0,847
320,0,846
321,0,845
322,0,844
323,0,843
324,0,842
325,0,841
326,0,840
327,0,839
328,0,838
329,0,837
330,0,836
331,0,835
332,0,834
333,0,833
334,0,832
335,0,831
336,0,830
337,0,829
338,0,828
339,0,827
340,0,826
341,0,825
342,0,824
343,0,823
344,0,822
345,0,821
346,0,820
347,0,819
348,0,818
349,0,817
350,0,816
351,0,815
352,0,814
353,0,813
354,0,812
355,0,811
356,0,810
357,0,809
358,0,808
359,0,807
360,0,806
361,0,805
362,0,804
363,0,803
364,0,802
365,0,801
366,0,800
367,0,799
368,0,798
369,0,797
370,0,796
371,0,795
372,0,794
373,0,793
374,0,792
375,0,791
376,0,790
377,0,789
378,0,788
379,0,787
380,0,786
381,0,785
382,0,784
383,0,783
384,0,782
385,0,781
386,0,780
387,0,779
388,0,778
389,0,777
390,0,776
391,0,775
392,0,774
393,0,773
394,0,772
395,0,771
396,0,770
397,0,769
398,0,768
399,0,767
400,0,766
401,0,765
402,0,764
403,0,763
404,0,762
405,0,761
406,0,760
407,0,759
408,0,758
409,0,757
410,0,756
411,0,755
412,0,754
413,0,753
414,0,752
415,0,751
416,0,750
417,0,749
418,0,748
419,0,747
420,0,746
421,0,745
422,0,744
423,0,743
424,0,742
425,0,741
426,0,740
427,0,739
428,0,738
429,0,737
430,0,736
431,0,735
432,0,734
433,0,733
434,0,732
435,0,731
436,0,730
437,0,729
438,0,728
439,0,727
440,0,726
441,0,725
442,0,724
443,0,723
444,0,722
445,0,721
446,0,720
447,0,719
448,0,718
449,0,717
450,0,716
451,0,715
452,0,714
453,0,713
454,0,712
455,0,711
456,0,710
457,0,709
458,0,708
459,0,707
460,0,706
461,0,705
462,0,704
463,0,703
464,0,702
465,0,701
466,0,700
467,0,699
468,0,698
469,0,697
470,0,696
471,0,695
472,0,694
473,0,693
474,0,692
475,0,691
476,0,690
477,0,689
478,0,688
479,0,687
480,0,686
481,0,685
482,0,684
483,0,683
484,0,682
485,0,681
486,0,680
487,0,679
488,0,678
489,0,677
490,0,676
491,0,675
492,0,674
493,0,673
494,0,672
495,0,671
496,0,670
497,0,669
498,0,668
499,0,667
500,0,666
501,0,665
502,0,664
503,0,663
504,0,662
505,0,661
506,0,660
507,0,659
508,0,658
509,0,657
510,0,656
511,0,655
512,0,654
513,0,653
514,0,652
515,0,651
516,0,650
517,0,649
518,0,648
519,0,647
520,0,646
521,0,645
522,0,644
523,0,643
524,0,642
525,0,641
526,0,640
527,0,639
528,0,638
529,0,637
530,0,636
531,0,635
532,0,634
533,0,633
534,0,632
535,0,631
536,0,630
537,0,629
538,0,628
539,0,627
540,0,626
541,0,625
542,0,624
543,0,623
544,0,622
545,0,621
546,0,620
