,Simplification Threshold,Count
313,0.0000023841794245527126,46
314,0.0000027417981982580386,45
315,0.0000029802158678648993,44
316,0.0000032186189855565317,43
317,0.000003337843281769892,42
318,0.00000333784737449605,41
319,0.0000035762611787504284,40
320,0.000003695435225381516,39
321,0.0000042914562072837725,38
322,0.000004529922989604529,37
323,0.00000488755449623568,36
324,0.000005245112333795987,35
325,0.000005483563654706813,34
326,0.000005960426278761588,33
327,0.0000064367850427515805,32
328,0.0000064372698034276254,31
329,0.000006556469088536687,30
330,0.000006794870387238916,29
331,0.000006794884939154144,28
332,0.00000691389141138643,27
333,0.000007033309884718619,26
334,0.000007152320904424414,25
335,0.000007629340871062595,24
336,0.000007748461939627305,23
337,0.000008106175300781615,22
338,0.00000822527363197878,21
339,0.000008344582056452055,20
340,0.0000083446057033143,19
341,0.000008940498446463607,18
342,0.000008940581210481469,17
343,0.000010251857020193711,16
344,0.000010847986231965479,15
345,0.000011443921721365768,14
346,0.000011682305739668664,13
347,0.000012874346793978475,12
348,0.000013708894584851805,11
349,0.00001728503411868587,10
350,0.004007761366665363,9
351,0.00455508241429925,8
352,0.004749326966702938,7
353,0.004893707111477852,6
354,0.00546580133959651,5
355,0.006465706508606672,4
356,0.008071424439549446,3
357,0.008269711397588253,2
358,0.010939623229205608,1
